Name,Countries,child_language_countName
Atlantic-Congo,"Senegal, Guinea, Ghana, Burkina Faso, Togo, Benin, Nigeria, Cameroon,Central African Republic,Gabon, Republic of Congo, Zambia, USA",1433
Austronesian,"Malaysia, Madagascar, Taiwan",1277
Indo-European,"Albania, Andorra, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark,Estonia, Finland,France, Germany, Greece, Holy See, Hungary, Iceland, Ireland, Italy, Latvia,Pakistan, India, Bangladesh, Afghanistan, Iran, Iraq, Syria, Armenia, Turkey, Lebanon, Kazakhstan, Georgia, Azerbaijan, Liechtenstein, Lithuania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Russia San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom",589
Sino-Tibetan,"China, Nepal, Myanmar, Bangladesh",496
Bookkeeping,All,393
Afro-Asiatic,"Somalia, Ethiopia, Sudan, Egypt, Tunisia, Morocco, Algeria, Kenya, South Sudan, Niger",375
Nuclear Trans New Guinea,Papua New Guinea,316
Pama-Nyungan,Australia,248
Sign Language,,196
Otomanguean,"Mexico, Costa Rica, Nicaragua",180
Austroasiatic,"India, Bangladesh, Nepal, China",156
Unclassifiable,All,95
Tai-Kadai,"Thailand, Laos, China",81
Pidgin,All,80
Dravidian,"India, Pakistan, Afghanistan, Sri Lanka, Maldives, Bangladesh",78
Arawakan,"Peru, Paraguay, Bolivia, Colombia, Brazil, Argentina, Suriname",75
Mande,"Benin, Burkina Faso, Cote d'Ivoire, Gambia, Ghana, Guinea, Guinea-Bissau, Liberia, Mali, Mauritania, Niger, Nigeria, Senegal, Sierra Leone",71
Tupian,"Brazil, Uruguay",69
Uto-Aztecan,"United States, Mexico",64
Central Sudanic,"Central African Republic, Sudan, Chad, South Sudan, Uganda, Congo, Cameroon",55
Nilotic,"�South Sudan,�Sudan,�Ethiopia,�Uganda,�Kenya, Democratic Republic of Congo,�Tanzania",55
Nuclear Torricelli,Papua New Guinea,48
Uralic,"Hungary, Estonia, Finland",46
Algic,"USA, Canada",46
Athabaskan-Eyak-Tlingit,USA,45
Pano-Tacanan,"Brazil, Bolivia, Paraguay, Peru",44
